NAME,RANK_PROJECTED,RANK_PROJECTED_LIVE,RANK_SCORED,FANTASY_POINTS_PROJECTED,FANTASY_POINTS_PROJECTED_LIVE,FANTASY_POINTS_SCORED,IPO_PRICE,SUGGESTED_PRICE,LAST_PRICE,BID_PRICE,ASK_PRICE,FINAL_PRICE,PROJECTED_VALUATION,CURRENT_VALUATION,TRADEABLE_ID,ENTITY_ID,TEAM_ID,TEAM_ABBREVIATION,EVENT_ID,EVENT_NAME,price,quantity
Darrell Henderson,17,18,17,14.47,14.47,NULL,NULL,4.75,NULL,NULL,NULL,NULL,3.5,4,tdbl_6345a9c17c656650b18605e968f712eb,en_b18605e968f712eb2bce472424a0d51e,team_d55ed18801253683bd0c300503b72aa8,LA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,4.34,22
CeeDee Lamb,18,19,18,14.07,14.07,NULL,NULL,4.5,NULL,NULL,NULL,NULL,3.25,3.5,tdbl_6345a9c17c65665023b15bc661ddfdfb,en_23b15bc661ddfdfb4ac24691b7101ada,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,5.47,22
Kenneth Walker,19,27,19,12.09,12.09,NULL,NULL,3.41,NULL,NULL,NULL,NULL,3,3.25,tdbl_6345a9c17c65665062e13882cedc109b,en_62e13882cedc109b31563bb523ce2500,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,4.64,22
Miles Sanders,20,20,20,13.72,13.72,NULL,NULL,4.34,NULL,NULL,NULL,NULL,2.75,3,tdbl_6345a9c17c656650c0349e6028f7ca31,en_c0349e6028f7ca313020a7d67b40704f,team_225aab2f9ddb2784623537df6742aa52,PHI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.54,22
Devin Singletary,21,15,21,15.2,15.2,NULL,NULL,4.83,NULL,NULL,NULL,NULL,2.5,2.75,tdbl_6345a9c17c6566505d9ec7ce0d0217d5,en_5d9ec7ce0d0217d599128bf8543ff8f1,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,4.59,22
Cooper Rush,22,21,22,13.61,13.61,NULL,NULL,4.27,NULL,NULL,NULL,NULL,2.25,2.5,tdbl_6345a9c17c6566504bba0e3c903db046,en_4bba0e3c903db046621fd354172468e8,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.5,22
JuJu Smith-Schuster,23,23,23,12.89,12.89,NULL,NULL,3.5,NULL,NULL,NULL,NULL,2,2.25,tdbl_6345a9c17c656650084c417620802aa7,en_084c417620802aa77c0b92d90516c251,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.41,22
Rondale Moore,24,22,24,13.59,13.59,NULL,NULL,4.29,NULL,NULL,NULL,NULL,1.75,2,tdbl_6345a9c17c65665060fae701a8b90ae4,en_60fae701a8b90ae4745abd57c871cba5,team_5d4e631aa0243be4a65e307323486ea6,ARI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.26,22
Gabe Davis,25,24,25,12.55,12.55,NULL,NULL,3.33,NULL,NULL,NULL,NULL,1.5,1.75,tdbl_6345a9c17c6566502777741b1d637ae7,en_2777741b1d637ae778779558229c8669,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,4.5,22
DJ Moore,26,25,26,12.48,12.48,NULL,NULL,3.53,NULL,NULL,NULL,NULL,1.38,1.5,tdbl_6345a9c17c656650a21c46305b78ddb5,en_a21c46305b78ddb5f1ff556a92666033,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.5,22
Zach Ertz,27,26,27,12.38,12.38,NULL,NULL,3.54,NULL,NULL,NULL,NULL,1.25,1.38,tdbl_6345a9c17c656650a1149a9b2eb9e8a8,en_a1149a9b2eb9e8a8341443efbd55e93c,team_5d4e631aa0243be4a65e307323486ea6,ARI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,4.27,22
PJ Walker,28,28,28,12.08,12.08,NULL,NULL,3.47,NULL,NULL,NULL,NULL,1.13,1.25,tdbl_6345a9c17c656650fa58df0bdfb12564,en_fa58df0bdfb125640ecaf504fe3bab4d,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,2.92,22
DeVonta Smith,29,30,29,11.7,11.7,NULL,NULL,3.26,NULL,NULL,NULL,NULL,1,1.13,tdbl_6345a9c17c65665060fae7003d09740a,en_60fae7003d09740a21bc1898a1d74a01,team_225aab2f9ddb2784623537df6742aa52,PHI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.53,22
Clyde Edwards-Helaire,30,29,30,11.75,11.75,NULL,NULL,3.29,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650c1a585fdfe15be3a,en_c1a585fdfe15be3a77614f9cd0ceffaa,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,3.33,22
